sigma0,sigma1,sigma2,phase_var
0.1,0.30000000000000004,1.9000000000000001,0.007197195231433206
0.1,0.30000000000000004,2.0,0.007482993002916245
0.1,0.4,0.1,0.007141658786708644
0.1,0.4,0.2,0.0065698910236899
0.1,0.4,0.30000000000000004,0.006248836758101729
0.1,0.4,0.4,0.005957998099414993
0.1,0.4,0.5,0.0058645441735810854
0.1,0.4,0.6,0.005664795807180829
0.1,0.4,0.7000000000000001,0.005612572148753207
0.1,0.4,0.8,0.005630915993124037
0.1,0.4,0.9,0.00562214922953259
0.1,0.4,1.0,0.005652529811114055
0.1,0.4,1.1,0.0056935687046556155
0.1,0.4,1.2000000000000002,0.005711927311156761
0.1,0.4,1.3000000000000003,0.005911339680301301
0.1,0.4,1.4000000000000001,0.006181735987510267
0.1,0.4,1.5000000000000002,0.0062195673053634945
0.1,0.4,1.6,0.006308495468989637
0.1,0.4,1.7000000000000002,0.006590516090705836
0.1,0.4,1.8000000000000003,0.00666071251782055
0.1,0.4,1.9000000000000001,0.0068246968413074455
0.1,0.4,2.0,0.007055962405109119
0.1,0.5,0.1,0.0063942053544052335
0.1,0.5,0.2,0.006037861954051792
0.1,0.5,0.30000000000000004,0.005699548279607036
0.1,0.5,0.4,0.005516346644890072
0.1,0.5,0.5,0.0054506298647667385
0.1,0.5,0.6,0.005367399724016743
0.1,0.5,0.7000000000000001,0.005353496529966464
0.1,0.5,0.8,0.0052086970601123396
0.1,0.5,0.9,0.005303807812603308
0.1,0.5,1.0,0.0054228986195385045
0.1,0.5,1.1,0.005494285468514958
0.1,0.5,1.2000000000000002,0.005563312474377376
0.1,0.5,1.3000000000000003,0.005580259574487516
0.1,0.5,1.4000000000000001,0.005712510810352762
0.1,0.5,1.5000000000000002,0.005938355857715009
0.1,0.5,1.6,0.006146132547969683
0.1,0.5,1.7000000000000002,0.006352564053741269
0.1,0.5,1.8000000000000003,0.00645742139708434
0.1,0.5,1.9000000000000001,0.0066101318526705505
0.1,0.5,2.0,0.006784605908781302
0.1,0.6,0.1,0.005841343097693579
0.1,0.6,0.2,0.005664063735532101
0.1,0.6,0.30000000000000004,0.005377260956082844
0.1,0.6,0.4,0.005294188715758379
