sigma0,sigma1,sigma2,phase_var
0.1,0.2,2.5000000000000004,0.009560518947207143
0.1,0.2,2.6,0.009652631590037887
0.1,0.2,2.7,0.009914015320857797
0.1,0.2,2.8000000000000003,0.009997019773057364
0.1,0.2,2.9000000000000004,0.010191249468747504
0.1,0.2,3.0000000000000004,0.010465608799289455
0.1,0.2,3.1,0.010681133703554158
0.1,0.30000000000000004,0.1,0.008232506942960368
0.1,0.30000000000000004,0.2,0.007778544778696409
0.1,0.30000000000000004,0.30000000000000004,0.0072410944162765905
0.1,0.30000000000000004,0.4,0.00696064048888178
0.1,0.30000000000000004,0.5,0.006689686498849437
0.1,0.30000000000000004,0.6,0.006508024359365518
0.1,0.30000000000000004,0.7000000000000001,0.006477975906000337
0.1,0.30000000000000004,0.8,0.006411920203167247
0.1,0.30000000000000004,0.9,0.006409184753430248
0.1,0.30000000000000004,1.0,0.006504008094235668
0.1,0.30000000000000004,1.1,0.006574740317082699
0.1,0.30000000000000004,1.2000000000000002,0.006595037775244975
0.1,0.30000000000000004,1.3000000000000003,0.006926360439217369
0.1,0.30000000000000004,1.4000000000000001,0.0067361075656202
0.1,0.30000000000000004,1.5000000000000002,0.006934242104266938
0.1,0.30000000000000004,1.6,0.007157615188089371
0.1,0.30000000000000004,1.7000000000000002,0.007206935090563708
0.1,0.30000000000000004,1.8000000000000003,0.007395711040054557
0.1,0.30000000000000004,1.9000000000000001,0.007648245849747364
0.1,0.30000000000000004,2.0,0.007871906188763472
0.1,0.30000000000000004,2.1,0.007967053503135505
0.1,0.30000000000000004,2.2,0.008429295801408524
0.1,0.30000000000000004,2.3000000000000003,0.008346327455556966
0.1,0.30000000000000004,2.4000000000000004,0.008745647500472206
0.1,0.30000000000000004,2.5000000000000004,0.008971802614551504
0.1,0.30000000000000004,2.6,0.009116930443923237
0.1,0.30000000000000004,2.7,0.009365630973735885
0.1,0.30000000000000004,2.8000000000000003,0.009550622026291937
0.1,0.30000000000000004,2.9000000000000004,0.009902883154936506
0.1,0.30000000000000004,3.0000000000000004,0.010083042492901885
0.1,0.30000000000000004,3.1,0.010167869327283637
0.1,0.4,0.1,0.00700801234764255
0.1,0.4,0.2,0.006636153429104105
0.1,0.4,0.30000000000000004,0.0062524018541193025
0.1,0.4,0.4,0.006133347427831955
0.1,0.4,0.5,0.006010956435401521
0.1,0.4,0.6,0.005970420814295623
0.1,0.4,0.7000000000000001,0.005843744796439862
0.1,0.4,0.8,0.0059509764131919565
0.1,0.4,0.9,0.005996033606437057
0.1,0.4,1.0,0.005954656863641967
0.1,0.4,1.1,0.005961131978499363
0.1,0.4,1.2000000000000002,0.006132038519099722
0.1,0.4,1.3000000000000003,0.0063656185991199455
0.1,0.4,1.4000000000000001,0.006364793282661741
0.1,0.4,1.5000000000000002,0.006565300139809199
0.1,0.4,1.6,0.006671154913873806
0.1,0.4,1.7000000000000002,0.006886484580910128
0.1,0.4,1.8000000000000003,0.007052365910868061
0.1,0.4,1.9000000000000001,0.0074258513013086315
0.1,0.4,2.0,0.0075772397524493
0.1,0.4,2.1,0.007748396674198069
0.1,0.4,2.2,0.007851692146213724
0.1,0.4,2.3000000000000003,0.008142160848947384
0.1,0.4,2.4000000000000004,0.008241786344783718
0.1,0.4,2.5000000000000004,0.00853104834237456
0.1,0.4,2.6,0.008728322869350838
0.1,0.4,2.7,0.009039358700515828
0.1,0.4,2.8000000000000003,0.009238324708674802
0.1,0.4,2.9000000000000004,0.009417336357928368
0.1,0.4,3.0000000000000004,0.009621278495809052
0.1,0.4,3.1,0.009832197540383841
0.1,0.5,0.1,0.006396053788383728
0.1,0.5,0.2,0.0060195119790791805
0.1,0.5,0.30000000000000004,0.005808736131155823
0.1,0.5,0.4,0.005635304579010745
0.1,0.5,0.5,0.005671925281094638
0.1,0.5,0.6,0.005555208017544529
0.1,0.5,0.7000000000000001,0.005601531671452766
0.1,0.5,0.8,0.005655960065831845
0.1,0.5,0.9,0.005625093415219746
0.1,0.5,1.0,0.005695281126296445
0.1,0.5,1.1,0.005797882472655241
0.1,0.5,1.2000000000000002,0.0059033536849018575
0.1,0.5,1.3000000000000003,0.005988013517019297
0.1,0.5,1.4000000000000001,0.006138008189784416
0.1,0.5,1.5000000000000002,0.006445791817094631
0.1,0.5,1.6,0.006476920147770911
0.1,0.5,1.7000000000000002,0.006623294272179251
0.1,0.5,1.8000000000000003,0.006749504811710908
0.1,0.5,1.9000000000000001,0.006956659277420416
0.1,0.5,2.0,0.0071660587945643174
0.1,0.5,2.1,0.007414755556899902
0.1,0.5,2.2,0.007720720935407285
0.1,0.5,2.3000000000000003,0.007735487175522016
0.1,0.5,2.4000000000000004,0.0080329001493959
0.1,0.5,2.5000000000000004,0.008182313951082064
0.1,0.5,2.6,0.008384350691670204
0.1,0.5,2.7,0.008677170875052202
0.1,0.5,2.8000000000000003,0.008916994448704299
0.1,0.5,2.9000000000000004,0.009014375561291043
0.1,0.5,3.0000000000000004,0.009271665717101243
0.1,0.5,3.1,0.009525601740457966
0.1,0.6,0.1,0.005896597196475117
0.1,0.6,0.2,0.005640955664997423
0.1,0.6,0.30000000000000004,0.0055745897111048265
0.1,0.6,0.4,0.0053891266130480136
0.1,0.6,0.5,0.005421619292939391
0.1,0.6,0.6,0.005343175513681702
0.1,0.6,0.7000000000000001,0.005343391852221223
0.1,0.6,0.8,0.005348997678191438
0.1,0.6,0.9,0.005458593398135164
0.1,0.6,1.0,0.005501477933896839
0.1,0.6,1.1,0.005619043309754714
0.1,0.6,1.2000000000000002,0.005649334798196468
0.1,0.6,1.3000000000000003,0.005775251954131432
0.1,0.6,1.4000000000000001,0.006003642863727085
0.1,0.6,1.5000000000000002,0.0061139828093549784
0.1,0.6,1.6,0.0062602450207447854
0.1,0.6,1.7000000000000002,0.0063877538729126574
0.1,0.6,1.8000000000000003,0.006597870956689276
0.1,0.6,1.9000000000000001,0.006857805916179834
0.1,0.6,2.0,0.006762566412989823
0.1,0.6,2.1,0.007217775618948095
0.1,0.6,2.2,0.007247990774992078
0.1,0.6,2.3000000000000003,0.007562895796819293
0.1,0.6,2.4000000000000004,0.00767737504114363
0.1,0.6,2.5000000000000004,0.008037232258791702
0.1,0.6,2.6,0.008085017878357314
0.1,0.6,2.7,0.008402241631036063
0.1,0.6,2.8000000000000003,0.008560914918206083
0.1,0.6,2.9000000000000004,0.008879479204639402
0.1,0.6,3.0000000000000004,0.009161708195804821
0.1,0.6,3.1,0.009372802268848091
0.1,0.7000000000000001,0.1,0.005743168271444483
0.1,0.7000000000000001,0.2,0.005410732735220183
0.1,0.7000000000000001,0.30000000000000004,0.005380713699830564
0.1,0.7000000000000001,0.4,0.005253312172494014
0.1,0.7000000000000001,0.5,0.005248688759621465
0.1,0.7000000000000001,0.6,0.005139723515297975
0.1,0.7000000000000001,0.7000000000000001,0.005133503891139397
0.1,0.7000000000000001,0.8,0.005251301360919614
0.1,0.7000000000000001,0.9,0.005399858068598187
0.1,0.7000000000000001,1.0,0.005426806574859843
0.1,0.7000000000000001,1.1,0.005459906182204612
